"Time stamp","System power generated | (kW)","Sun position time | (hour)","Irradiance DHI from weather file | (W/m2)"
"Jan 1, 12:00 am",-0.0034239,0,0
"Jan 1, 01:00 am",-0.0034239,1,0
"Jan 1, 02:00 am",-0.0034239,2,0
"Jan 1, 03:00 am",-0.0034239,3,0
"Jan 1, 04:00 am",-0.0034239,4,0
"Jan 1, 05:00 am",-0.0034239,5,0
"Jan 1, 06:00 am",-0.0034239,6,0
"Jan 1, 07:00 am",-0.0034239,7,0
"Jan 1, 08:00 am",-0.0034239,8,35
"Jan 1, 09:00 am",1.38376,9,84
"Jan 1, 10:00 am",1.283,10,131
"Jan 1, 11:00 am",2.51774,11,85
"Jan 1, 12:00 pm",1.8881,12,124
"Jan 1, 01:00 pm",0.735569,13,120
"Jan 1, 02:00 pm",0.411838,14,72
"Jan 1, 03:00 pm",0.0758705,15,15
"Jan 1, 04:00 pm",-0.0034239,16,0
"Jan 1, 05:00 pm",-0.0034239,17,0
"Jan 1, 06:00 pm",-0.0034239,18,0
"Jan 1, 07:00 pm",-0.0034239,19,0
"Jan 1, 08:00 pm",-0.0034239,20,0
"Jan 1, 09:00 pm",-0.0034239,21,0
"Jan 1, 10:00 pm",-0.0034239,22,0
"Jan 1, 11:00 pm",-0.0034239,23,0
"Jan 2, 12:00 am",-0.0034239,0,0
"Jan 2, 01:00 am",-0.0034239,1,0
"Jan 2, 02:00 am",-0.0034239,2,0
"Jan 2, 03:00 am",-0.0034239,3,0
"Jan 2, 04:00 am",-0.0034239,4,0
"Jan 2, 05:00 am",-0.0034239,5,0
"Jan 2, 06:00 am",-0.0034239,6,0
"Jan 2, 07:00 am",-0.0034239,7,0
"Jan 2, 08:00 am",-0.0034239,8,35
"Jan 2, 09:00 am",0.596087,9,73
"Jan 2, 10:00 am",0.0956688,10,53
"Jan 2, 11:00 am",0.679099,11,140
"Jan 2, 12:00 pm",1.19274,12,147
"Jan 2, 01:00 pm",1.56503,13,112
"Jan 2, 02:00 pm",1.19936,14,74
"Jan 2, 03:00 pm",0.970459,15,19
"Jan 2, 04:00 pm",-0.0034239,16,0
"Jan 2, 05:00 pm",-0.0034239,17,0
"Jan 2, 06:00 pm",-0.0034239,18,0
"Jan 2, 07:00 pm",-0.0034239,19,0
"Jan 2, 08:00 pm",-0.0034239,20,0
"Jan 2, 09:00 pm",-0.0034239,21,0
"Jan 2, 10:00 pm",-0.0034239,22,0
"Jan 2, 11:00 pm",-0.0034239,23,0
"Jan 3, 12:00 am",-0.0034239,0,0
"Jan 3, 01:00 am",-0.0034239,1,0
"Jan 3, 02:00 am",-0.0034239,2,0
"Jan 3, 03:00 am",-0.0034239,3,0
"Jan 3, 04:00 am",-0.0034239,4,0
"Jan 3, 05:00 am",-0.0034239,5,0
"Jan 3, 06:00 am",-0.0034239,6,0
"Jan 3, 07:00 am",-0.0034239,7,0
"Jan 3, 08:00 am",-0.0034239,8,30
"Jan 3, 09:00 am",0.00472819,9,16
"Jan 3, 10:00 am",0.0761461,10,48
"Jan 3, 11:00 am",1.29273,11,150
"Jan 3, 12:00 pm",2.63391,12,76
"Jan 3, 01:00 pm",1.88634,13,100
"Jan 3, 02:00 pm",0.0402377,14,30
"Jan 3, 03:00 pm",1.28529,15,17
"Jan 3, 04:00 pm",-0.0034239,16,0
"Jan 3, 05:00 pm",-0.0034239,17,0
"Jan 3, 06:00 pm",-0.0034239,18,0
"Jan 3, 07:00 pm",-0.0034239,19,0
"Jan 3, 08:00 pm",-0.0034239,20,0
"Jan 3, 09:00 pm",-0.0034239,21,0
"Jan 3, 10:00 pm",-0.0034239,22,0
"Jan 3, 11:00 pm",-0.0034239,23,0
"Jan 4, 12:00 am",-0.0034239,0,0
"Jan 4, 01:00 am",-0.0034239,1,0
"Jan 4, 02:00 am",-0.0034239,2,0
"Jan 4, 03:00 am",-0.0034239,3,0
"Jan 4, 04:00 am",-0.0034239,4,0
"Jan 4, 05:00 am",-0.0034239,5,0
"Jan 4, 06:00 am",-0.0034239,6,0
"Jan 4, 07:00 am",-0.0034239,7,0
"Jan 4, 08:00 am",-0.0034239,8,31
